HoleId,From,To,Val,East_from,North_from,Elevation_from,East_mid,North_mid,Elevation_mid,East_to,North_to,Elevation_to
DDH01,0.0,25.0,10,500060.0,2000000.0,3970.0,500069.4305,2000006.372,3970.0,500076.617,1999997.546,3970.0
DDH01,40.0,80.0,40,500065.962,1999989.918,3970.0,500058.09,2000006.925,3970.0,500054.617,2000026.621,3970.0
DDH91,10.0,25.0,10,500011.551,2000000.712,3989.848,500012.829,2000000.537,3997.2345,500013.88,1999999.79,4004.62
DDH91,25.0,25.5,80,500013.88,1999999.79,4004.62,500013.90725,1999999.75625,4004.86625,500013.9345,1999999.7225000001,4005.1125
DDH91,25.5,26.0,20,500013.9345,1999999.7225000001,4005.1125,500013.96175,1999999.68875,4005.35875,500013.989,1999999.655,4005.605
DDH91,26.0,26.5,80,500013.989,1999999.655,4005.605,500014.01399999997,1999999.61925,4005.85125,500014.039,1999999.5835000002,4006.0975
DDH91,26.5,27.0,20,500014.039,1999999.5835000002,4006.0975,500014.064,1999999.5477500001,4006.34375,500014.089,1999999.512,4006.59
DDH91,60.0,67.5,80,500012.17,1999994.807,4039.088,500011.67125,1999994.388,4042.78175,500011.1725,1999993.9695000001,4046.4745000000003
DDH91,67.5,100.0,40,500011.1725,1999993.9695000001,4046.4745000000003,500009.01125,1999992.15575,4062.47775,500006.85,1999990.342,4078.481
DDHXX,0.0,40.0,40,500080.0,2000000.0,3970.0,500082.273,2000002.387,3989.696,500085.414,2000001.39,4009.392
DDHXX,50.0,100.0,80,500086.122,1999999.829,4019.24,500086.876,1999995.554,4043.861,500087.63,1999991.278,4068.481
DDH90,0.0,100.0,60,500000.0,2000000.0,3970.0,500000.0,2000000.0,4020.0,500000.0,2000000.0,4070.0
